CONTROL,JAMMORT,JHELOCADD,JHELOCBAL,JHELOCLIM,JINTRATE,JLOANTYPE,JMISCPMT,JMORTADDTN,JMORTCLASS,JMORTLINE,JMORTTYPE,JPMTAMT,JPMTFREQ,JPMTONLY,JREFI,JREFICSH,JREFICSHAMT,JTAXPMT,AMMORT,REFI,MORTCLASS,MORTTYPE,TAXPMT,PMTONLY,MORTLINE,REFICSHAMT,MORTADDTN,HELOCLIM,REFICSH,HELOCBAL,HELOCADD,PMTFREQ,LOANTYPE,MISCPMT,PMTAMT,INTRATE
'11008067','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',111312,'1','1','1','1',899,1,-6,-6,-6,'2','-6','-6','1','1','1',1244,2.871
'11008085','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',198147,'2','1','1','1',1261,1,-6,-6,-6,'-6','-6','-6','1','1','1',2007,2.854
'11008096','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',540669,'2','1','1','2',4840,1,-6,-6,-6,'-6','-6','-6','1','1','2',1937,1.65
'11008101','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',201400,'2','1','1','1',961,1,-6,-6,-6,'-6','-6','-6','1','1','1',1999,3.832
'11008104','0','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',245067,'2','1','1','1',1777,1,-6,-6,-6,'-6','-6','-6','1','1','1',2023,6.767
'11008106','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',250534,'1','1','1','1',971,1,-6,-6,-6,'2','-6','-6','1','1','1',1362,2.045
'11008122','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',292427,'2','1','1','1',802,1,-6,-6,-6,'-6','-6','-6','1','1','1',1878,1.846
'11008126','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',17571,'2','1','1','2',134,1,-6,-6,-6,'-6','-6','-6','1','1','1',410,6.314
'11008128','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0',312249,'1','1','1','1',1288,1,-6,-6,-6,'2','-6','-6','1','1','1',2053,5.538
'11008129','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',391387,'2','1','1','1',1840,1,-6,-6,-6,'-6','-6','-6','1','1','1',2105,3.781
'11008133','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',13181,'1','1','2','1',75,1,-6,-6,-6,'2','-6','-6','1','1','1',1732,3.542
'11008148','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',31048,'1','1','1','1',288,1,-6,-6,-6,'2','-6','-6','1','1','1',417,3.002
'11008170','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',107417,'2','1','1','2',476,1,-6,-6,-6,'-6','-6','-6','2','1','2',4,5.325
'11008188','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',180274,'2','1','1','1',764,1,-6,-6,-6,'-6','-6','-6','1','1','1',2574,5.188
'11008203','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',228765,'-9','1','1','-9',1422,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1139,6.091
'11008208','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',174757,'2','1','2','1',787,1,-6,-6,-6,'-6','-6','-6','1','1','1',1155,3.768
'11008210','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',119604,'1','1','1','1',663,1,-6,-6,-6,'2','-6','-6','1','1','1',1174,3.545
'11008215','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',234677,'2','1','1','1',1134,1,-6,-6,-6,'-6','-6','-6','1','1','1',1781,2.179
'11008219','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',145253,'1','1','1','2',866,1,-6,-6,-6,'-9','-6','-6','1','1','1',953,4.75
'11008226','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','0',553224,'2','1','1','1',1848,1,-6,-6,-6,'-6','-6','-6','1','1','1',3819,6.236
'11008227','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',980067,'-9','1','1','-9',4534,1,-6,-6,-6,'-6','-6','-6','-9','1','2',4682,3.616
'11008235','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',204360,'1','1','1','2',1472,1,-6,-6,-6,'2','-6','-6','1','1','2',1575,4.575
'11008239','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',351465,'1','1','1','1',1384,1,105888,0,-6,'1','-6','-6','1','1','1',2834,2.565
'11008250','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',78133,'2','1','1','1',356,1,-6,-6,-6,'-6','-6','-6','1','1','1',1026,4.2
'11008252','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',216977,'2','1','1','1',1168,1,-6,-6,-6,'-6','-6','-6','1','1','1',1277,4.937
'11008256','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',240955,'2','1','1','1',1565,1,-6,-6,-6,'-6','-6','-6','1','1','1',1354,6.37
'11008260','2','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',99145,'2','1','1','1',460,1,-6,-6,-6,'-6','-6','-6','1','1','1',649,3.246
'11008266','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,1,-6,-6,50374,'-6','1','1','-6','3','2',702,5.239
'11008272','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0',7160,'2','1','1','2',39,1,-6,-6,-6,'-6','-6','-6','1','1','2',40,6.137
'11008279','2','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0',6053,'2','1','1','1',35,1,-6,-6,-6,'-6','-6','-6','1','1','1',464,4.536
'11008296','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',523017,'1','1','1','1',2587,1,6911,0,-6,'1','-6','-6','1','1','1',2653,3.573
'11008308','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',161442,'1','1','1','1',1483,1,-6,-6,-6,'2','-6','-6','1','1','1',1865,2.115
'11008314','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',9937,'2','1','1','1',59,1,-6,-6,-6,'-6','-6','-6','1','1','1',1113,4.328
'11008324','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',474835,'1','1','1','1',2084,1,-6,-6,-6,'2','-6','-6','1','1','1',2397,3.087
'11008334','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',202069,'2','1','1','2',1305,1,-6,-6,-6,'-6','-6','-6','1','1','2',1237,2.143
'11008335','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',119188,'2','1','1','1',595,1,-6,-6,-6,'-6','-6','-6','1','1','1',1649,4.758
'11008343','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',67434,'1','1','2','1',270,1,-6,-6,-6,'2','-6','-6','1','1','1',789,2.925
'11008350','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',197153,'1','1','1','1',1647,1,-6,-6,-6,'2','-6','-6','1','1','1',1938,2.696
'11008353','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',202278,'1','1','1','1',783,1,-6,-6,-6,'2','-6','-6','1','1','1',1667,2.359
'11008367','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',858606,'2','1','1','1',3874,1,-6,-6,-6,'-6','-6','-6','1','1','1',5781,3.666
'11008371','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',145904,'1','1','1','2',762,1,-6,-6,-6,'2','-6','-6','1','1','2',1145,2.992
'11008375','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',252043,'2','1','1','1',1114,1,-6,-6,-6,'-6','-6','-6','1','1','1',1523,3.808
'11008376','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',143902,'1','1','1','1',402,1,-6,-6,-6,'2','-6','-6','2','1','1',714,6.302
'11008385','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',104292,'2','1','2','1',545,1,-6,-6,-6,'-6','-6','-6','1','1','1',1808,5.352
'11008389','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',154353,'2','1','1','1',741,1,-6,-6,-6,'-6','-6','-6','1','1','1',1159,3.552
'11008401','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',224542,'1','1','1','1',1480,1,-6,-6,-6,'2','-6','-6','1','1','1',2678,2.664
'11008406','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',92297,'2','1','2','1',541,1,-6,-6,-6,'-6','-6','-6','1','1','1',889,6.265
'11008409','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',129502,'1','1','1','2',574,1,51755,0,-6,'1','-6','-6','1','1','2',1007,2.98
'11008409','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',-6,'-6','3','-6','-6',-6,2,-6,-6,19951,'-6','2','2','-6','3','2',-6,7.736
'11008413','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',191976,'2','1','1','1',763,1,-6,-6,-6,'-6','-6','-6','1','1','2',1135,4.208
'11008414','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',197049,'2','1','2','1',954,1,-6,-6,-6,'-6','-6','-6','1','1','1',1088,4.144
'11008421','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',131456,'1','1','1','2',1312,1,24444,10,-6,'1','-6','-6','1','1','2',1337,2.963
'11008437','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',104352,'1','1','1','1',684,1,-6,-6,-6,'2','-6','-6','1','1','2',1537,3.716
'11008446','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',283391,'1','1','1','1',1431,1,-6,-6,-6,'2','-6','-6','1','1','1',2003,3.928
'11008455','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',1066694,'2','1','1','1',4606,1,-6,-6,-6,'-6','-6','-6','1','1','1',4673,2.088
'11008460','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',373532,'2','1','1','1',1537,1,-6,-6,-6,'-6','-6','-6','1','1','1',2075,3.084
'11008464','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',339322,'1','1','1','1',1290,1,109079,42,-6,'1','-6','-6','1','1','2',1853,2.187
'11008474','2','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0',543835,'1','1','1','2',1856,1,-6,-6,-6,'2','-6','-6','1','1','1',1983,2.864
'11008483','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',337475,'1','1','1','1',1599,1,-6,-6,-6,'2','-6','-6','1','1','1',1686,2.377
'11008488','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',531709,'2','1','2','1',2873,1,-6,-6,-6,'-6','-6','-6','1','1','1',4638,5.339
'11008491','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',495248,'1','1','1','1',2139,1,-6,-6,-6,'2','-6','-6','1','1','1',2429,2.429
'11008493','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',363089,'1','1','1','1',3035,1,-6,-6,-6,'2','-6','-6','1','1','1',2904,4.505
